parameter,mean,median,std,q2_5,q97_5
θ[1],-0.2894851351398482,-0.2834718118565939,0.8327971767321823,-2.0039290068163815,1.3465734452030624
θ[2],-0.3066165359466773,-0.3020645621063839,0.7746111457760797,-1.8660870523266362,1.2422282674883882
θ[3],-0.3351165431418785,-0.32782054593724785,0.8089386932536783,-1.8826836380111849,1.258005305683702
θ[4],0.31323210171964017,0.2780319069699925,0.7882431818503575,-1.187847363195195,1.8709162227615521
θ[5],0.3034548875039212,0.28845810837986346,0.8509138430421225,-1.276301520706331,1.9724799203909917
θ[6],-0.9529539082654997,-0.9276929414314588,0.8645546091716035,-2.783589198477673,0.6457848728657127
θ[7],0.3415678862593395,0.3249864173714824,0.8558708118868581,-1.3310355416267163,2.0024451800826246
θ[8],0.3422556416869558,0.3023936707408613,0.8448230927963811,-1.2823566289972128,1.9460921875002297
θ[9],0.32699199003877927,0.33327072407182295,0.8205447586381813,-1.2997251643130185,1.9492663971594102
θ[10],0.3197824597733516,0.3397430976080257,0.8196211568118312,-1.3062682966630106,1.9262225897074476
