parameter,mean,median,std,q2_5,q97_5
θ[1],-0.5939339797889479,-0.614169035652488,0.8809466502871549,-2.381883387572924,1.0855624633124996
θ[2],-0.561512787104278,-0.5677593398404125,0.8786509896728293,-2.3042251436218213,1.2487128855181486
θ[3],-0.589520660027388,-0.5651470632764204,0.8864966246706586,-2.343414358002809,1.041422154587535
θ[4],0.09195077585506793,0.10298102530339823,0.8454904050655836,-1.5237953499055708,1.7563044997394175
θ[5],0.16902430217900127,0.1990705265138067,0.8383625783183881,-1.5706457029100338,1.7574737932150701
θ[6],-0.5933809514651398,-0.5802815500468522,0.8590650248172588,-2.290363746596497,1.0723976613503765
θ[7],0.1523980493844934,0.17099489686200814,0.8412860609240828,-1.5016307468342736,1.718308775774504
θ[8],-0.60229950054135,-0.6140797257549919,0.926484847717763,-2.4944771584015144,1.1480252215599893
θ[9],-0.5852812515997452,-0.6049086740657614,0.9127479165018441,-2.443810892055043,1.1328698666935206
θ[10],-0.5893019553992894,-0.5935066710005064,0.8401539101401962,-2.239229603834653,1.0234587902296886
