parameter,mean,median,std,q2_5,q97_5
θ[1],-0.4740725569653684,-0.445853528224488,0.8497503001091571,-2.2203746115438663,1.2360045391243986
θ[2],-0.5071289645709544,-0.4926918578862287,0.8501147118331188,-2.180277643516615,1.156052194189202
θ[3],-0.45996776574962417,-0.44154520603377234,0.7853308654528208,-1.9974948299509514,1.112794996178971
θ[4],-0.4708444337220541,-0.4838105644957018,0.8418808686262892,-2.1369354421510702,1.0941442733336066
θ[5],-0.4669300241878128,-0.42419654109729066,0.8893298434533226,-2.246447776436645,1.2243917574243506
θ[6],-0.47039293079748573,-0.4842269243684231,0.9244257304389839,-2.2989624861424764,1.2613098401806058
θ[7],-0.4717720071670073,-0.42164674062814383,0.8864790473203413,-2.3198734576658206,1.1712199410431297
θ[8],-0.4706748372531912,-0.466614445326101,0.9096083865172183,-2.208367153038426,1.1864200415967379
θ[9],-0.4997941206911299,-0.4542578087009598,0.8985504616254439,-2.2586302164274166,1.3022804315943355
θ[10],-0.4514224228456682,-0.4189518678188968,0.8593614592672387,-2.177706036947585,1.1779932452010902
